Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
skew16/part05,16,227.36,4,92089917440.00,1917533.12,107357822976.00,4848803328.00,19602352,11125853,15036684,272627,22,11125217,22
skew16/part06,16,227.36,5,90730848256.00,1957615.00,104141414400.00,4944552448.00,19298072,11125850,15812322,280273,22,11125215,23
skew16/part07,16,227.36,6,95219064832.00,1558919.88,107500625920.00,4798176256.00,19432806,11125418,12477228,254404,11,11125087,11
skew16/part08,16,227.36,7,92477145088.00,817475.06,105420611584.00,4925754368.00,19889767,11125317,13937587,251398,14,11125041,20
skew16/part09,16,227.36,8,91844214784.00,592942.75,104630222848.00,4934706688.00,19874849,11125276,13945186,243138,8,11125040,8
skew16/part10,16,227.36,9,93365854208.00,1066804.88,105680314368.00,4932610048.00,19382365,11125392,12984042,251857,21,11125057,23
skew16/part11,16,227.36,10,96248995840.00,1078807.62,109475602432.00,5464887808.00,20063487,11125373,16695059,226919,12,11125063,17
skew16/part12,16,227.36,11,93340344320.00,1227016.00,105777471488.00,4937022464.00,19386299,11125387,12958158,252871,21,11125058,23
skew16/part13,16,227.36,12,91778883584.00,1209331.38,106090790912.00,5040060928.00,19587459,11125449,14958268,252357,11,11125086,18
skew16/part14,16,227.36,13,95439675392.00,571122.31,108709257216.00,5372869120.00,20033674,11125526,16723901,215005,25,11125053,61
skew16/part15,16,227.36,14,91157233664.00,1316368.38,105655582720.00,4925367296.00,19647195,11125607,14480661,225183,25,11125096,48
skew16/part16,16,227.36,15,92983795712.00,1544338.00,107450712064.00,4895650816.00,19714089,11125682,14576089,223132,26,11125146,33
sorted16/part01,16,308.22,0,78061649920.00,1221457.12,100282335232.00,78738522112.00,17834763,11125660,15913805,17466600,22,11125144,26
sorted16/part02,16,308.22,1,78054596608.00,693546.94,99527491584.00,83521060864.00,18047910,11125544,15408529,18554287,15,11125115,17
sorted16/part03,16,308.22,2,78806081536.00,1411838.38,100603633664.00,79267782656.00,17756231,11125504,14054311,16941194,18,11125103,19
sorted16/part04,16,308.22,3,80021209088.00,1687368.75,102589530112.00,111816122368.00,18118430,11125641,14780084,27373131,18,11125142,22
sorted16/part05,16,308.22,4,80177143808.00,1074729.50,96685662208.00,113862688768.00,18631353,11316060,13134616,27139231,13,11315566,15
sorted16/part06,16,308.22,5,80743849984.00,1460551.50,103626244096.00,113980178432.00,18260875,11125718,13450829,26078253,21,11125158,24
sorted16/part07,16,308.22,6,76180611072.00,360636.28,97962008576.00,111903932416.00,18077116,11125233,15177170,27502954,11,11125015,13
sorted16/part08,16,308.22,7,78199021568.00,400023.00,100078927872.00,111197814784.00,18167943,11125174,13747771,24141499,8,11125002,11
sorted16/part09,16,308.22,8,76837421056.00,558547.38,98570092544.00,109099188224.00,18003444,11125433,13448155,21701942,12,11125083,15
sorted16/part10,16,308.22,9,78852366336.00,636975.25,100885872640.00,110396211200.00,18190685,11125254,13598764,23660893,9,11125021,11
sorted16/part11,16,308.22,10,77781704704.00,663835.38,99660619776.00,97485103104.00,18140063,11125286,12948199,19397179,9,11125036,12
sorted16/part12,16,308.22,11,78512963584.00,382394.56,100570980352.00,77231382528.00,17470559,11125170,15704357,16398603,6,11125008,9
sorted16/part13,16,308.22,12,80371269632.00,377746.16,102663495680.00,108155904000.00,18628249,11126241,13279617,21762051,13,11123941,1075
sorted16/part14,16,308.22,13,77613449216.00,626040.31,99454869504.00,112418480128.00,18169164,11125338,15325429,25393694,28,11125027,31
sorted16/part15,16,308.22,14,66234224640.00,3289461.75,85474664448.00,73146302464.00,14686228,11127000,12954858,15950835,0,11125629,0
sorted16/part16,16,308.22,15,77661159424.00,850835.69,99789250560.00,112763985920.00,18269594,11127095,15200411,26103625,27,11125045,32
